time	noteName	noteMIDI	noteKey	noteOctave
109.575	D	74	2	5
109.830	D#	39	3	2
109.970	A#	46	10	2
110.109	C	36	0	2
110.155	D#	39	3	2
110.481	D#	39	3	2
110.643	C	36	0	2
110.736	D#	39	3	2
110.968	D	62	2	4
111.131	D#	39	3	2
111.270	D	38	2	2
111.340	D#	39	3	2
111.502	A#	58	10	3
111.642	A#	58	10	3
111.943	G	55	7	3
112.152	G	55	7	3
112.454	A	81	9	5
112.477	G	55	7	3
112.756	F	65	5	4
112.849	D#	39	3	2
112.988	E	64	4	4
113.104	D#	51	3	3
113.337	A	45	9	2
113.453	F	65	5	4
113.662	C#	37	1	2
113.847	E	64	4	4
113.987	F	65	5	4
114.173	F	65	5	4
114.405	F	65	5	4
114.544	C#	61	1	4
114.637	A	69	9	4
114.730	A	69	9	4
114.823	F	65	5	4
115.078	F#	42	6	2
115.217	F	65	5	4
115.310	F	65	5	4
115.519	F	65	5	4
115.751	E	64	4	4
115.891	F#	54	6	3
115.960	G	67	7	4
116.100	G	67	7	4
116.634	G	67	7	4
116.680	B	35	11	1
116.959	F	53	5	3
117.029	G#	32	8	1
117.145	F	77	5	5
117.307	A#	34	10	1
117.377	C#	61	1	4
117.656	G#	56	8	3
117.748	D	62	2	4
117.818	D	62	2	4
118.143	D	62	2	4
118.213	F#	66	6	4
118.468	A	69	9	4
118.677	A	33	9	1
118.770	C	36	0	2
118.863	A	33	9	1
119.095	F	77	5	5
119.258	F	65	5	4
119.443	D	62	2	4
119.560	D	62	2	4
119.676	E	64	4	4
119.792	D	62	2	4
119.908	D	62	2	4
120.279	A#	58	10	3
120.395	F	65	5	4
120.697	A	69	9	4
120.744	A	69	9	4
120.860	A	69	9	4
121.139	G#	68	8	4
121.255	A	81	9	5
121.301	A	81	9	5
121.626	A	69	9	4
121.742	A	69	9	4
121.835	F	65	5	4
121.974	G	67	7	4
122.160	F	41	5	2
122.230	F	41	5	2
122.462	F	41	5	2
122.625	F	41	5	2
122.880	G	79	7	5
123.019	G	79	7	5
123.066	F#	78	6	5
123.182	F	65	5	4
123.484	G	55	7	3
123.623	D	62	2	4
123.948	D	62	2	4
124.041	D	38	2	2
124.204	F	65	5	4
124.413	A#	46	10	2
124.621	C#	61	1	4
124.830	D#	51	3	3
125.039	D#	51	3	3
125.248	D#	39	3	2
125.550	F	65	5	4
125.690	F	29	5	1
125.713	D#	39	3	2
125.852	D#	39	3	2
126.154	F#	54	6	3
126.224	D#	51	3	3
126.293	D#	39	3	2
126.618	C	36	0	2
126.665	F	65	5	4
126.851	G	55	7	3
126.990	F	65	5	4
127.106	D#	39	3	2
127.245	F	65	5	4
127.478	F	65	5	4
127.687	F	65	5	4
127.965	D	62	2	4
128.058	D	62	2	4
128.313	D	74	2	5
128.476	D	62	2	4
128.662	D	74	2	5
128.778	D	62	2	4
128.848	D	62	2	4
129.126	D	62	2	4
129.242	F#	42	6	2
129.358	E	76	4	5
129.428	E	76	4	5
129.660	B	83	11	5
129.823	F	41	5	2
130.101	G	55	7	3
130.171	F	53	5	3
130.403	G	55	7	3
130.891	G	79	7	5
130.984	E	64	4	4
131.053	A	33	9	1
131.216	A#	34	10	1
131.286	A	33	9	1
131.471	A#	34	10	1
131.541	A	33	9	1
131.913	D	62	2	4
132.098	D	62	2	4
