MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.1158338261603556, 0.023986080434269526, 0.027962062093723365, 0.057918071278744744, 0.062075474109311725, 0.0041729589353825102, -0.058023808149451274, -0.09265817767974413, 0.0018403074321984426, 0.070522951633676403, 0.032342200992681119, 0.011679445663786906]	0.067	19.505	D#	63	3	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.834
[0.26247959752215799, 0.03666938448567908, -0.10698958839517238, 0.11307642822325824, 0.02987166117906322, 0.022174049018342988, 0.079363975719649066, -0.075741690797512973, 0.05981723101731648, 0.060058431516803859, -0.0019676145200433442, -0.012503603256893875]	0.049	19.644	D#	63	3	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.808
[0.09195199403692117, -0.00060870226367575248, 0.0044887170683475686, 0.065097226208729639, 0.11522085237118961, 0.014120994690861619, 0.017332927904183334, -0.048463342635639166, 0.058865057914821689, 0.090938534848925404, 0.030091112317180174, -0.0070082949088888869]	0.081	19.783	A#	34	10	1	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]	0.699
[0.075601886629653808, 0.0072373313828596143, -0.042084506755360261, 0.089536736807637962, 0.057270665654147804, 0.048518471665420546, 0.031124748593472456, -0.049221216401695203, 0.020136466008162095, 0.041566490871868762, 0.052186314525865349, -0.022829215570848396]	0.105	19.992	A	33	9	1	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.507
[0.14028208451002808, -0.019591376326430855, -0.10239653816639137, 0.083231976119215234, 0.065177672114074783, 0.00031918219000404635, 0.012111793694341537, -0.02673126204190401, -0.0031800960418354135, 0.0093588297695938061, 0.018220009703390473, -0.018987702515337213]	0.075	20.225	F	65	5	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.456
[0.044341011780010951, -0.12326675933449138, -0.12995547090266996, 0.044461195312819779, 0.11743997475834171, 0.027416530790363696, -0.020975420445718519, 0.010792056803864723, 0.053232037615873959, 0.049412010672313871, 0.012985347237725962, -0.00084416169691282374]	0.086	20.457	F	65	5	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.409
[0.045366890891032782, -0.067736552914899592, -0.082576621076387691, 0.037139505521859385, 0.076639920397866157, 0.063974623779129977, 0.018002515863691015, -0.014549276085702386, 0.019949090743222254, 0.025741183776494678, 0.025099338922738735, 0.021855896808002182]	0.064	20.666	D	62	2	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.283
[0.12123996836146748, -0.084186545409160374, -0.043128866829862965, -0.0034434284110305626, 0.070762591698196833, 0.064464685236755609, 0.0030613213080940668, 0.010838958241771036, -0.016119313197624874, 0.02797421065069404, 0.0038401058086505284, -0.0085528519091865977]	0.069	20.828	D	62	2	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.185
[0.20228021475731414, 0.01424577022781222, -0.033262844821939641, 0.023143098620769381, 0.025166527042666136, -0.011486768615369854, -0.021514358816298589, 0.012479850308216443, 0.029964225500119006, -0.0031677024221914937, 0.01051572090396677, 0.020690268910508142]	0.041	21.153	B	35	11	1	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.349
[0.10732798029793601, -0.029565726465369539, -0.020831082404843704, 0.038888675013189114, 0.067987696180500393, -0.015108155701689217, -0.030941674413473449, -0.021083192726397793, 0.00015467034277916034, 0.0034515895000958277, 0.0031816854766188551, -0.001439192096647448]	0.067	21.269	E	64	4	4	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.720
[0.13492237729140213, -0.055879981241438795, -0.092007818370921188, 0.066434072934677568, 0.0040414981723328565, -0.033978062264773137, -0.011357418782316001, -0.032198268394947951, 0.0041792688921697954, -0.02102146950018129, -0.0039388038901030506, -0.040261621143961014]	0.087	21.386	F	65	5	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.709
[0.15653234423195328, -0.029649824731290589, -0.10903805655779963, 0.097483660593249186, 0.037378554972062814, -0.06048311881932962, 0.021960950539433265, -0.052696887656011646, 0.03523486624315568, 0.024620941686967719, -0.006133582523871868, -0.034789955191781761]	0.095	21.478	F	65	5	4	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.770
[0.12284243146626556, -0.059382963971007049, -0.069879851435084281, 0.082926766847888828, 0.083510362520322623, -0.057647667641660828, -0.008294223148820971, -0.063198201599937831, 0.0039396438919879675, -0.0068582193710028218, 0.00085341830583836157, -0.05040580710917611]	0.107	21.595	F	65	5	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.629
[0.0097197773237827512, -0.052673520480465724, -0.026780133547345247, 0.074613026106822661, 0.089532822309681251, 0.035207314020167343, -0.037346236780293793, -0.075140248355345163, -0.0034925448874895621, -0.0010038875354968276, -0.017104076104928059, -0.039695930942370374]	0.066	21.757	E	64	4	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.637
[0.13479533634016316, -0.089009742742476708, -0.012234144780074237, 0.0026674228745520805, 0.0080531040719996547, 0.028631927021537305, -0.0092659105562864063, -0.016494234621365532, -0.014195907909041992, -0.0098661337395223991, 0.023993719687837662, -0.01408022860498415]	0.055	22.013	D	74	2	5	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.597
[0.036774572415129006, -0.1598587841972704, -0.09574602524354095, 0.01876024348428517, 0.011058154737610407, 0.0089148705119706205, 0.023219078403347221, 0.0064721947420442322, -0.041231789079122859, -0.068478774884336582, -0.026029354618796473, -0.026020097657099523]	0.149	22.129	F	53	5	3	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.553
[-0.052529879752393177, -0.14325319263720848, -0.072334024500018274, -0.021258254529858384, -0.073113371203924318, 0.020364074480193114, 0.085147092524177348, -0.036789796062293809, -0.018140484995461306, -0.081197109087976477, -0.0073754985214623233, 0.021264140152052153]	0.193	22.314	A	81	9	5	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.516
[0.039664421948317694, -0.21756856887055034, 0.0068048482828706684, 0.090922980772261408, 0.046397657174969305, 0.048746399204868313, 0.042828692991669741, -0.010978416755176319, 0.025319412210594899, -0.0772917921367441, -0.036325841909329935, -0.070733996687481746]	0.132	22.454	D	62	2	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.535
[-0.059912708483765467, -0.087941476620184755, -0.080627798601726808, 0.0018937275894553331, 0.03667661728704865, -0.0082035803752308969, -0.010161962017374807, 0.0053256326397151232, 0.02876273569233009, 0.00017098042112747731, -0.0015719972794103257, -0.046695509805097117]	0.137	22.570	F	65	5	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.448
[-0.062156112271189716, -0.15063344568885292, -0.022316624693636912, -0.0074996161240066962, -0.023571015748660884, 0.026489690858859351, -0.014354461273885897, -0.043247977306382634, 0.0016833888871785262, 0.03506775528392285, -0.016937995378173164, -0.043359747216224556]	0.133	22.802	D#	63	3	4	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]	0.534
[0.070816538951347152, -0.082889057873658176, 0.02263668374434399, -0.010111782386424037, -0.056883012469536753, 0.018023431070174661, -0.01182310819689048, -0.078281970680231378, -0.07959590521237353, -0.0042415514481598006, -0.0067688344326212275, -0.03171339563521134]	0.086	23.011	F#	42	6	2	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]	0.760
[0.14044328128673497, -0.16234926413759987, 0.032356242189011265, 0.028821529167188508, -0.12816663247813229, -0.029779741470938596, -0.018673266035953522, -0.12899173808940531, -0.0025134287488838276, -0.063298432211857936, -0.011817299793721958, -0.063986221296128826]	0.110	23.174	B	83	11	5	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]	0.583
[0.067880161405505166, -0.11547171904685961, -0.0091259237863656421, 0.003160336060894579, -0.068746371836288539, 0.0030856180342117533, -0.020044801007354722, -0.052634572494447425, -0.035758137778385761, 0.0071353450684702776, 0.0012736883591147519, -0.065743923618300157]	0.121	23.359	E	76	4	5	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]	0.570
[0.051061180436894824, -0.16600298197062627, -0.067287382101286805, -0.048976807946434449, -0.031427321948266196, 0.024642136440432637, 0.012495309672015365, -0.034717793640500552, -0.030255860755055129, -0.025260723848346905, 0.0071192765473796433, -0.018763938488150601]	0.085	23.615	D	62	2	4	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]	0.524
[0.18482587957892696, -0.29144170464830488, -0.12039734002475103, -0.04088894859808271, -0.098315492684611691, 0.042813071899881941, 0.029547808356860206, -0.059646663280420016, -0.028325539461729325, -0.019887121567816395, -0.018618048584488778, -0.048006576764384579]	0.097	23.824	D	74	2	5	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.601
[0.026022041474722146, -0.14359638212285578, -0.071256972041451719, -0.035567076492043083, -0.05356108182774675, 0.029766768399510101, 0.015066847104817319, -0.024785717389076596, 0.022627287794584259, -0.0088752616821639249, -0.01896093470000338, -0.026578075858010218]	0.118	23.940	F	53	5	3	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.520
[0.0067402588561715363, -0.14810736910811942, -0.1289859205607114, -0.048053665102523818, -0.022735815343431803, 0.0050826732448536862, 0.045612481414112865, -0.046616536558499296, -0.061554931474086132, -0.0025459385628871286, 0.031013613457232806, -0.023181559147621478]	0.087	24.102	F#	54	6	3	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.338
[-0.072269042988770835, -0.22093436603316985, -0.1391784920529977, 0.018272470052255498, 0.0097116145924018033, -0.024879190726386041, 0.0198043656117298, -0.017739799562111674, -0.031502783966342519, 0.010591189760809956, -0.012768200342632256, -0.065899941625126135]	0.080	24.358	C	60	0	4	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.276
[-0.11736118616121959, -0.2772593547676519, -0.13491461897010906, -0.0708106231820569, -0.021826231113751458, 0.032431230648978064, 0.0019213018656484976, -0.056337876966917021, -0.026326323774391997, 0.016011874601162952, 0.004404863380614743, 0.0082997037537890558]	0.105	24.567	F	65	5	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.424
[0.062377034976308726, -0.014835254095901572, -0.031944250457632745, -0.0030459959003827446, 0.0028389920924723222, 0.0039964244030642566, -0.022271903914255917, -0.056121479595435744, -0.026911698576282565, 0.005195682397222655, -0.013595941688901004, -0.033756438154842479]	0.054	24.776	D#	39	3	2	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]	0.622
[0.16931438570052623, -0.021837929863855941, -0.0069297384869837038, -0.0029331501111503778, -0.0038742091900105862, -0.014368954293350177, -0.018900651989279874, 0.024275152530235652, -0.033243831515433891, -0.056200603506926634, -0.038854695046784078, 0.0044218428058742168]	0.052	24.985	D#	39	3	2	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]	0.447
[0.12937167110721226, -0.071014509122061378, -0.047054548408545185, 0.056951041341070395, -0.00044443761698228086, 0.03443622981568091, 0.020865971838476362, -0.023015307826929701, -0.09017235173736679, -0.023465254998756447, -0.068003714160073767, -0.052644162978152304]	0.056	25.217	G#	56	8	3	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]	0.368
[0.38042219492311219, -0.1579888344388696, -0.022363634164252827, 0.020534010127241063, 0.017803627281011966, 0.038047461085600552, 0.0752015073094945, -0.081010650434469408, -0.067225023665407127, -0.10872096854733485, -0.052700203910483641, 0.022238635143513746]	0.043	25.449	D	38	2	2	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.295
