time	MFCC
38.290	[0.086602162627328685, -0.13333249403615541, -0.11448318130419413, -0.0064490666650518736, 0.030129540915806163, 0.011914185693211248]
38.522	[0.01630952454369735, -0.1352650134091084, -0.13419107627423477, -0.044472270259053211, 0.013708553652659508, 0.041840229669297423]
38.708	[0.012738572244970821, -0.31911233237854836, -0.3227226100839366, -0.026644539813538499, 0.16182393408273904, 0.020388605585496097]
38.777	[-0.0033678696536439674, -0.28809250314531415, -0.22072944999362684, 0.025880025743103715, -0.017522964891690553, -0.0032576869507919518]
38.940	[0.18118898893831573, -0.0016626977157382958, -0.022108146288943923, 0.012172023270735487, -0.061145600528307781, 0.059107490976091151]
39.102	[0.1557631493698611, -0.09571792749937455, -0.069771038130522253, 0.034349794593645108, -0.032021423908170955, 0.0038566661117215803]
39.219	[0.077433016839052696, -0.0065231689470026302, -0.060912941439195754, 0.0010289809374789808, -0.025452520589178549, -0.029750862400406961]
39.404	[-0.041301041692841163, -0.057118563097334096, -0.015970322586882586, 0.010317610521098032, 0.019794136880106127, 0.043670972549648905]
39.636	[0.19457770736330568, -0.16649149972799718, -0.1822206885435434, -0.039712421588973541, 0.061336171031022277, 0.0074515835656153691]
39.776	[0.14818331238953122, -0.028532341246880859, -0.081616326799392833, -0.017396485137074109, 0.045953861278614651, 0.019416533069162641]
39.845	[0.44225080167188469, -0.11250827761567747, -0.063888977132196031, 0.0012320074119547796, 0.064337561682987099, 0.03485822083476274]
39.985	[0.15800456531874227, -0.016751849037634277, -0.05909812021026066, 0.016551765558002994, 0.028077574579522417, 0.0041547538297726314]
40.147	[0.16940976483967218, -0.082985041983918914, -0.10710239283232761, -0.018951471461349321, 0.040407164689223098, 0.030567707960632417]
40.496	[0.12277644634448723, 0.00061083037149074315, -0.046648809023836155, -0.011884217634198594, 0.029278509030004556, 0.031360820206251167]
40.658	[0.1328979156785422, 0.017162483673756137, -0.048877297084089402, -0.031706981512067273, -0.015568902925584216, -0.02495139526105556]
41.169	[0.14808951182909091, 0.068219358681457523, 0.025844202005000528, 0.001751188741877903, -0.011783890926856024, -0.027089433591586221]
41.239	[0.04803322720284646, 0.014886414165688493, -0.0027781886271519506, -0.0025449617803832351, -0.0058203437020868569, -0.031160365278332644]
41.424	[0.030729215921066491, -0.0094126358789225935, -0.0047085501183242824, 0.00083247871698734622, -0.010891018870084906, -0.02156318735912777]
41.564	[0.13340888615802354, -0.00072988000531822505, -0.047464728902270624, 0.032730987329687232, -0.021320930679537588, -0.040868270889668379]
41.726	[0.060964983527717891, -0.062243100883828548, -0.042205701626368837, -0.006520660968023082, 0.008927030113518572, 0.014592835832566172]
41.866	[0.045834860880459648, -0.16388613140681671, -0.059752627068056514, 0.005420986422904805, -0.0091247822376398328, 0.026889485991297903]
42.075	[-0.012494401322872741, -0.095147899472579844, 0.0052188784271920263, 0.028236711807843092, 0.0028741050702838214, 0.0050658818623000972]
42.167	[-0.10102999122732129, -0.19649604971673731, -0.11076662772925434, -0.058331442929477277, 0.033120783846205933, 0.036634411126562537]
42.376	[0.10625461473271294, -0.17834490593222085, -0.049224792458518768, 0.084782644399066506, 0.018913250644440611, -0.0068677238787528483]
42.493	[0.10906651631064242, -0.090295325092408132, 0.0024252750938072087, 0.068464950427457566, -0.043120560630327952, -0.03381720923374771]
42.632	[0.15649781852452083, -0.1538710185954805, -0.03451684427300232, 0.088684030214523465, -0.080023547688979166, -0.041663051145409719]
42.701	[0.12621226811732378, -0.10846254106117396, 0.046375340698926806, 0.062722815113795058, 0.0062740134251893847, -0.038648320657550722]
42.934	[0.056140898258417865, -0.061903825550615493, -0.02150685086983967, 0.018391773738459623, -0.00019794637224987847, -0.012928968723980227]
43.282	[0.0068958700275681944, -0.20239175250643471, -0.13675500065902044, -0.043216652978084177, 0.064555263976452185, -0.053481534142309807]
43.421	[0.088510373299635875, -0.15989247039685078, -0.10959344439847536, 0.0094000112745206456, 0.0071723388976366632, -0.021229139833154359]
43.514	[0.036843716637373222, -0.18477763192612434, -0.079741904321267876, -0.0097892077672410236, 0.069594239993834975, -0.0069321202311722289]
43.723	[0.0098189361489190354, -0.15447221494311705, -0.060357942370056074, 0.030499039830963335, 0.0620078177044604, -0.0029953162011272087]
43.909	[0.029424109218924091, -0.11673835495776033, -0.0099781832669789267, 0.04370860079042186, -0.015028578406129384, -0.035557101428851635]
44.071	[0.14182236758351671, -0.0086744951870331155, -0.012989198684179398, 0.018255355852584337, 0.00070285274308027983, -0.055572133607781835]
44.280	[0.08433911200409451, -0.038699349978064533, -0.033337221549111951, -0.019726726631775552, -0.0097284360852056499, -0.0064101656102048552]
44.536	[0.03136735975946587, -0.08960282758718835, -0.07625291201735214, 0.01352269141795436, -0.010711088389298707, 0.0049235006359219851]
44.745	[-0.0095088208887982011, -0.11508367046802084, -0.043061355274450881, 0.023477254177457007, -0.011605975344256069, -0.027178925084061219]
44.907	[-0.090890988268518644, -0.21619904303969453, -0.045605503061835605, 0.010497794810118751, -0.00061430638444851687, 0.010452758146058238]
45.116	[0.091733640338699851, -0.15644188284617941, -0.10897596145297248, -0.025679817376778571, -0.033939736988535148, -0.0052122686404073339]
45.140	[-0.011478795511574214, -0.16491074037548598, -0.15748656777532011, -0.078901067207338416, -0.018130742656474391, 0.034076862179479292]
45.256	[0.21536063394018085, -0.28452033675046307, -0.10942251606710346, -0.073471870177707219, -0.0034186808416862631, 0.020608148736863882]
45.372	[0.050683731535672447, -0.16758499823163364, -0.082020673302835759, -0.032073918117285369, -0.027278779489851118, -0.011724722372365343]
46.022	[0.15385979415034851, -0.037182252836878052, 0.00049078337284416077, 0.041761812824940944, 0.080672642487686158, -0.044682499590418263]
46.138	[0.086592545383863767, -0.0037129273198407255, -0.011596137212374956, 0.076609231538371347, 0.040379621168978509, -0.0141078561958839]
46.347	[-0.0013690825791794119, -0.041621877362880498, 0.029808538920584781, 0.057394658506737729, 0.060349246546530323, 0.062632376427489325]
