time	chroma	timbre	dB
35.028	[0.132, 0.019, 0.126, 0.048, 0.871, 0.093, 0.025, 0.034, 0.038, 0.05, 0.189, 1.0]	[43.19, -26.617, -57.47, -57.928, 9.234, -34.482, -79.73, -14.59, 53.245, 1.754, 4.142, -3.993]	-18.276
35.305	[0.086, 0.074, 0.667, 0.246, 0.838, 0.501, 0.378, 0.197, 0.162, 0.452, 1.0, 0.109]	[41.053, -28.929, -84.095, 22.374, 28.096, -4.738, -86.485, -58.379, 41.09, 4.209, -60.064, 15.293]	-18.281
36.548	[0.105, 0.344, 1.0, 0.08, 0.043, 0.504, 0.07, 0.03, 0.056, 0.513, 0.181, 0.052]	[39.32, -66.798, -8.513, -175.204, 54.8, 2.872, -42.739, 56.277, 34.507, 0.63, 52.951, -5.497]	-35.481
36.954	[0.082, 0.492, 1.0, 0.425, 0.575, 0.288, 0.071, 0.027, 0.026, 0.231, 0.046, 0.023]	[46.223, 67.237, -57.95, -21.321, 23.83, -12.665, -107.565, -23.008, 48.22, 12.92, -31.525, 6.652]	-14.114
37.291	[0.219, 1.0, 0.251, 0.106, 0.079, 0.434, 0.077, 0.032, 0.022, 0.269, 0.067, 0.042]	[40.08, 143.226, -125.946, -69.251, 117.955, -59.993, -32.111, -10.85, -27.782, 6.829, -15.102, -4.849]	-21.273
37.471	[0.129, 0.161, 1.0, 0.059, 0.067, 0.634, 0.091, 0.032, 0.029, 0.358, 0.015, 0.022]	[42.732, -35.768, -16.614, -69.001, 31.559, -12.47, -36.951, 3.242, 6.42, 28.723, 0.598, -1.445]	-22.170
37.761	[0.138, 0.344, 1.0, 0.221, 0.057, 0.353, 0.067, 0.017, 0.028, 0.273, 0.038, 0.016]	[43.618, -22.883, -16.846, -40.863, 34.329, -25.79, -67.539, 16.0, 43.529, 13.143, -11.591, -1.19]	-17.293
37.907	[0.058, 0.142, 0.371, 0.055, 0.058, 1.0, 0.059, 0.021, 0.028, 0.404, 0.032, 0.012]	[43.76, 2.82, -10.574, -51.655, 38.168, -15.276, -70.747, -39.231, 42.711, -0.348, 1.0, 4.787]	-19.774
38.157	[0.436, 0.516, 1.0, 0.752, 0.077, 0.313, 0.041, 0.035, 0.101, 0.668, 0.206, 0.186]	[44.238, -50.065, 19.648, -3.365, 71.699, -38.062, -18.696, -10.283, 11.046, 32.751, 9.285, 9.167]	-19.903
38.302	[0.192, 0.06, 0.069, 0.052, 0.51, 1.0, 0.398, 0.118, 0.043, 0.038, 0.013, 0.069]	[44.533, -84.925, 30.124, -15.405, 54.905, -46.705, 30.753, -7.126, 2.077, 17.953, -6.451, 16.582]	-17.178
38.591	[0.486, 0.035, 0.042, 0.087, 1.0, 0.868, 0.098, 0.246, 0.028, 0.063, 0.04, 0.234]	[45.027, -76.953, 55.44, -35.837, 50.603, -35.681, 36.581, 15.229, 15.362, -11.246, 7.367, 10.399]	-17.255
39.218	[1.0, 0.537, 0.516, 0.408, 0.158, 0.461, 0.105, 0.461, 0.113, 0.266, 0.027, 0.033]	[42.075, -55.611, -47.124, 22.334, 54.414, 6.285, -42.606, -33.883, 27.976, -3.696, -26.085, 13.308]	-24.249
39.671	[1.0, 0.18, 0.03, 0.036, 0.036, 0.35, 0.021, 0.192, 0.026, 0.071, 0.006, 0.017]	[37.687, -45.488, -44.297, -94.231, 18.416, -6.726, -68.028, 13.384, 46.926, -6.401, 15.556, 12.438]	-27.658
39.957	[0.196, 0.086, 1.0, 0.182, 0.057, 0.381, 0.072, 0.237, 0.029, 0.233, 0.027, 0.025]	[43.529, -10.0, -1.193, -30.839, 52.423, -33.633, -49.549, -8.179, 24.169, 7.167, 8.004, 0.817]	-20.956
40.124	[0.098, 0.07, 0.875, 1.0, 0.089, 0.045, 0.031, 0.197, 0.03, 0.088, 0.372, 0.128]	[43.963, -23.548, -40.85, -30.552, 36.078, -37.252, -15.756, -5.049, 32.45, 8.15, -13.771, 17.122]	-17.632
40.526	[0.048, 0.186, 1.0, 0.732, 0.061, 0.036, 0.016, 0.178, 0.011, 0.071, 0.159, 0.029]	[39.184, -58.015, -42.322, -21.322, 30.623, -29.974, -45.715, -5.448, 10.154, -13.652, -14.408, 5.611]	-21.143
40.972	[0.047, 0.019, 0.21, 1.0, 0.042, 0.096, 0.025, 0.232, 0.032, 0.02, 0.111, 0.096]	[32.876, -164.0, -94.085, -11.162, 30.209, -29.983, -38.694, -6.572, 13.032, 0.416, -31.575, 14.893]	-27.659
