time	chroma	timbre	dB
15.245	[0.566, 0.585, 1.0, 0.298, 0.084, 0.196, 0.308, 0.288, 0.658, 0.258, 0.384, 0.538]	[40.247, 119.302, -23.659, -11.956, -11.961, 6.852, 7.883, -30.03, -23.133, -23.07, 12.884, -9.261]	-24.860
15.516	[0.226, 0.284, 0.147, 0.12, 0.212, 1.0, 0.61, 0.083, 0.098, 0.057, 0.093, 0.087]	[44.4, 103.124, -21.67, 69.886, -27.401, -71.05, -0.848, 10.241, -27.112, 7.559, -27.907, 6.767]	-21.917
15.718	[0.09, 0.061, 0.072, 0.09, 0.138, 1.0, 0.487, 0.095, 0.035, 0.03, 0.07, 0.03]	[39.635, 92.603, 9.973, 0.013, -17.91, 10.532, 8.382, 33.983, -25.978, -33.999, -25.878, -4.277]	-22.240
16.254	[0.067, 0.088, 0.301, 0.378, 0.08, 0.154, 0.088, 0.269, 0.075, 0.242, 1.0, 0.186]	[34.964, 200.557, 109.026, 62.676, 66.954, 14.592, -46.422, -30.369, -50.381, -45.479, 22.795, -5.851]	-28.536
16.521	[1.0, 0.168, 0.042, 0.062, 0.06, 0.022, 0.182, 0.212, 0.023, 0.027, 0.042, 0.871]	[41.393, 107.332, -16.28, 100.434, -17.554, -42.996, -17.884, -2.016, -43.619, 23.537, 15.664, -4.964]	-30.368
16.775	[1.0, 0.379, 0.071, 0.032, 0.045, 0.014, 0.15, 0.24, 0.048, 0.011, 0.038, 0.704]	[37.624, 107.436, -56.248, 27.018, -46.872, -62.935, 7.83, -62.099, -51.987, 25.192, -22.258, 2.947]	-25.865
16.969	[1.0, 0.056, 0.05, 0.031, 0.038, 0.017, 0.058, 0.214, 0.018, 0.018, 0.039, 0.334]	[34.032, 53.845, -21.285, -33.398, -32.531, -7.209, 13.208, 33.773, -23.65, -20.887, -29.768, -2.326]	-28.163
17.278	[1.0, 0.257, 0.056, 0.073, 0.143, 0.03, 0.189, 0.407, 0.071, 0.026, 0.024, 0.603]	[38.922, 102.544, -74.694, 42.166, -5.525, -56.399, -4.708, -20.878, -49.492, 50.275, -5.899, -5.929]	-31.339
17.520	[1.0, 0.65, 0.057, 0.077, 0.063, 0.037, 0.048, 0.051, 0.092, 0.106, 0.566, 0.038]	[41.254, 93.597, -32.676, 127.195, -35.148, -26.202, -8.593, -10.08, -26.44, 14.251, -24.978, -3.654]	-27.604
17.652	[0.657, 0.816, 0.438, 0.36, 0.745, 0.731, 0.976, 1.0, 0.485, 0.479, 0.195, 0.047]	[33.397, 74.643, -78.831, -35.564, -4.891, -56.808, 19.51, -24.275, -62.277, 4.828, -11.566, -18.341]	-30.297
