time	ZC
204.498	0.145
204.521	0.133
204.754	0.241
205.009	0.111
205.264	0.210
205.520	0.129
205.752	0.291
206.007	0.197
206.031	0.162
206.263	0.198
206.565	0.179
206.611	0.258
206.913	0.254
207.006	0.202
207.261	0.207
207.517	0.253
207.540	0.257
207.772	0.254
208.004	0.133
208.260	0.181
208.515	0.106
208.771	0.216
209.003	0.117
209.258	0.458
209.281	0.136
209.514	0.160
209.769	0.324
209.885	0.182
210.001	0.166
210.257	0.206
210.512	0.133
210.768	0.247
211.000	0.177
211.023	0.109
211.255	0.143
211.511	0.112
211.766	0.294
212.021	0.102
212.254	0.179
212.509	0.062
212.648	0.192
212.764	0.244
213.020	0.109
213.252	0.225
213.531	0.042
213.577	0.123
213.763	0.275
214.018	0.113
214.251	0.382
214.274	0.184
214.506	0.128
214.761	0.303
215.017	0.215
215.272	0.131
215.528	0.108
215.760	0.350
216.015	0.081
216.271	0.178
216.503	0.125
216.758	0.265
217.014	0.119
217.269	0.247
217.501	0.305
217.525	0.055
217.757	0.259
218.012	0.215
218.268	0.188
218.500	0.114
218.755	0.254
219.011	0.177
219.034	0.130
219.266	0.149
219.521	0.061
219.638	0.285
219.754	0.293
220.009	0.175
220.264	0.240
220.520	0.146
220.682	0.326
220.775	0.244
221.008	0.118
221.263	0.256
221.518	0.164
221.774	0.273
222.006	0.207
222.261	0.562
222.285	0.222
222.517	0.169
222.772	0.316
222.888	0.234
223.004	0.228
223.260	0.195
223.515	0.166
223.771	0.329
224.003	0.099
224.142	0.182
224.258	0.146
224.514	0.105
224.769	0.232
225.001	0.082
225.141	0.253
225.396	0.248
225.535	0.156
225.768	0.385
225.930	0.236
226.023	0.128
226.255	0.166
226.511	0.103
226.766	0.254
227.021	0.169
227.254	0.522
227.277	0.118
227.579	0.122
227.672	0.217
227.765	0.291
228.020	0.102
228.159	0.183
228.252	0.168
228.508	0.072
228.763	0.349
228.879	0.249
229.018	0.137
229.251	0.230
229.436	0.124
229.622	0.145
229.761	0.318
230.017	0.163
230.272	0.212
230.504	0.193
230.528	0.122
230.760	0.313
231.015	0.227
231.271	0.154
231.526	0.124
231.758	0.325
232.014	0.149
232.060	0.079
232.269	0.203
232.501	0.120
232.757	0.257
233.012	0.124
233.268	0.240
233.523	0.075
233.755	0.326
233.895	0.151
234.011	0.157
234.266	0.220
234.498	0.095
234.638	0.229
234.754	0.256
235.009	0.153
235.265	0.271
235.311	0.144
235.520	0.145
235.752	0.445
235.892	0.251
236.008	0.115
236.263	0.226
236.518	0.142
236.751	0.274
237.006	0.079
237.145	0.220
237.261	0.237
237.517	0.143
237.772	0.298
238.005	0.153
238.260	0.238
238.515	0.139
238.748	0.353
238.771	0.400
238.887	0.192
239.003	0.221
239.258	0.174
239.514	0.136
239.769	0.359
240.001	0.147
240.257	0.446
240.280	0.217
240.512	0.117
240.768	0.294
241.000	0.099
241.255	0.195
241.534	0.121
241.766	0.301
241.998	0.141
242.022	0.141
242.254	0.197
242.509	0.083
242.765	0.252
243.020	0.146
243.275	0.074
243.415	0.181
243.531	0.124
243.763	0.287
244.019	0.119
244.251	0.173
244.506	0.077
244.762	0.256
245.017	0.094
245.249	0.261
245.272	0.201
245.505	0.116
245.760	0.301
246.015	0.123
246.271	0.184
246.503	0.103
246.758	0.547
246.875	0.191
247.014	0.214
247.269	0.144
247.525	0.153
247.757	0.298
248.012	0.134
248.268	0.224
248.500	0.082
248.570	0.138
248.755	0.238
249.011	0.120
249.266	0.268
249.522	0.139
249.754	0.367
249.893	0.174
250.009	0.109
250.149	0.342
250.265	0.204
250.520	0.108
250.752	0.276
251.008	0.126
251.263	0.173
251.519	0.231
251.751	0.369
251.774	0.288
252.006	0.160
252.262	0.208
252.517	0.172
252.749	0.238
253.005	0.119
253.260	0.224
253.515	0.159
253.771	0.274
254.003	0.224
254.282	0.227
254.375	0.182
254.514	0.199
254.560	0.219
254.769	0.271
255.002	0.221
255.025	0.208
255.257	0.204
255.512	0.223
255.768	0.282
256.000	0.141
256.255	0.180
256.511	0.116
256.534	0.090
256.766	0.250
257.022	0.088
257.254	0.201
257.533	0.121
257.765	0.240
258.020	0.118
258.067	0.137
258.276	0.188
258.508	0.096
258.647	0.201
258.763	0.255
259.019	0.181
259.274	0.131
259.529	0.128
259.762	0.452
259.878	0.203
260.017	0.125
260.249	0.200
260.505	0.113
260.760	0.249
261.016	0.066
261.132	0.196
261.271	0.180
261.503	0.179
261.573	0.066
261.759	0.326
262.014	0.117
262.269	0.186
262.502	0.110
262.757	0.342
263.012	0.190
263.268	0.147
263.523	0.168
263.755	0.325
264.011	0.134
264.266	0.247
264.499	0.099
264.568	0.137
264.754	0.305
264.916	0.512
265.009	0.161
265.265	0.270
265.520	0.153
265.752	0.410
266.008	0.110
266.263	0.498
266.310	0.106
266.519	0.050
266.635	0.204
266.751	0.299
267.006	0.154
267.262	0.199
267.517	0.135
267.749	0.428
268.005	0.209
268.028	0.092
268.260	0.185
268.516	0.082
268.748	0.238
269.003	0.092
269.259	0.238
269.514	0.289
269.537	0.112
269.769	0.278
270.002	0.205
270.257	0.647
270.512	0.124
270.768	0.361
271.000	0.153
271.256	0.542
271.279	0.269
271.534	0.101
271.766	0.351
272.022	0.089
272.254	0.180
272.509	0.113
272.765	0.251
272.997	0.177
273.020	0.084
273.252	0.217
273.531	0.071
273.763	0.263
274.019	0.131
274.274	0.135
274.506	0.067
274.646	0.129
274.762	0.321
275.017	0.132
275.273	0.185
275.528	0.154
275.760	0.361
276.016	0.098
276.248	0.169
276.271	0.193
276.503	0.077
276.759	0.245
277.014	0.104
277.269	0.214
277.502	0.120
277.757	0.466
277.780	0.219
278.013	0.147
278.268	0.660
278.523	0.091
278.756	0.288
279.011	0.131
279.266	0.257
279.313	0.101
279.522	0.096
279.754	0.361
280.009	0.172
280.265	0.185
280.520	0.133
280.752	0.201
281.008	0.201
281.031	0.105
281.263	0.214
281.519	0.160
281.751	0.327
281.890	0.220
