time	noteName	noteMIDI	noteKey	noteOctave
146.518	C#	37	1	2
146.750	C	84	0	6
147.006	C#	37	1	2
147.261	F	53	5	3
147.284	D	38	2	2
147.516	A#	34	10	1
147.772	D	74	2	5
148.004	C#	37	1	2
148.259	A	33	9	1
148.515	C	36	0	2
148.770	B	35	11	1
149.002	A	57	9	3
149.026	B	35	11	1
149.258	F	29	5	1
149.513	F	41	5	2
149.769	A	69	9	4
150.001	E	40	4	2
150.256	C	72	0	5
150.512	A	45	9	2
150.558	A#	34	10	1
150.767	A	69	9	4
150.999	C	36	0	2
151.255	C#	37	1	2
151.510	C	36	0	2
151.766	A	81	9	5
152.021	A#	34	10	1
152.160	G	91	7	6
152.276	C	36	0	2
152.509	D	38	2	2
152.764	B	35	11	1
153.020	A	33	9	1
153.252	F#	30	6	1
153.530	C#	37	1	2
153.646	F	89	5	6
153.763	F	89	5	6
153.879	D	38	2	2
154.018	C#	37	1	2
154.273	D#	39	3	2
154.506	D	38	2	2
154.668	F	77	5	5
154.761	D	74	2	5
155.016	C	36	0	2
155.272	C	48	0	3
155.318	G	31	7	1
155.527	F	29	5	1
155.759	D#	75	3	5
156.015	B	35	11	1
156.270	D#	87	3	6
156.526	F#	30	6	1
156.758	A	33	9	1
157.013	F	41	5	2
157.060	B	35	11	1
157.269	E	40	4	2
157.571	C	36	0	2
157.756	G	91	7	6
158.012	B	35	11	1
158.267	D#	39	3	2
158.499	C	36	0	2
158.755	C	72	0	5
158.894	B	47	11	2
159.010	F#	42	6	2
159.266	F	29	5	1
159.521	B	35	11	1
159.753	C	72	0	5
160.009	B	35	11	1
160.264	C#	73	1	5
160.496	G	79	7	5
160.520	C#	37	1	2
160.775	G	79	7	5
161.007	A#	34	10	1
161.263	F#	42	6	2
161.518	A#	34	10	1
161.773	D#	39	3	2
161.890	C#	37	1	2
162.006	F	41	5	2
162.029	C	36	0	2
162.261	D#	39	3	2
162.516	C	36	0	2
162.772	C	84	0	6
163.004	F#	30	6	1
163.260	D	38	2	2
163.352	F	77	5	5
163.538	B	35	11	1
163.747	A	93	9	6
163.770	A	81	9	5
164.003	D#	75	3	5
164.258	C#	73	1	5
164.513	D	74	2	5
164.769	A#	58	10	3
165.001	E	40	4	2
165.256	A	57	9	3
165.280	F	29	5	1
165.512	C	36	0	2
165.767	F#	42	6	2
165.999	C	36	0	2
166.278	F	77	5	5
166.510	G	79	7	5
166.766	F	77	5	5
166.998	G	79	7	5
167.021	G	79	7	5
167.277	F	41	5	2
167.532	D	38	2	2
167.764	C#	73	1	5
168.020	A	33	9	1
168.252	C#	85	1	6
168.507	F	29	5	1
168.530	G	79	7	5
168.763	B	35	11	1
169.018	C#	37	1	2
169.250	F#	30	6	1
169.529	A	33	9	1
