MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[-0.0068034599807651587, 0.1568855366291762, 0.0445904269892776, 0.050493926431326198, 0.064480690886640685, -0.0074816275537899898, 0.020165269387378885, -0.0038254123254223347, 0.012615882582529148, 0.0093237139149413631, 0.007536082984967306, 0.030223764967157032]	0.121	12.260	A#	34	10	1	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.213
[0.17679312386136883, 0.091198365513787683, 0.097637087021679989, -0.015806255771648386, 0.039087535470072314, -0.0031720679937454021, -0.024027630337398263, 0.045069122111469628, 0.078896678587726143, 0.032311561291761562, 0.041171656919369734, -0.024507268765787706]	0.229	12.748	A#	34	10	1	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.226
[-0.005230745860744397, 0.20802098400976435, 0.037789731526857301, 0.032852120436526501, 0.01731143301388335, -0.01527309166212472, -0.034665987274928749, -0.013983662358440266, 0.045273013520906347, -0.0059244786097012786, -0.0071789503734309605, -0.022377919346073995]	0.192	13.003	A	33	9	1	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.204
[-0.015969914931411408, 0.14489971236707552, 0.026406590405168618, -0.0064279692556580802, -0.0061604920363220374, -0.018141303327673063, -0.026839015718308129, 0.0026918149963084496, 0.0042199508775061147, -0.054950473651151716, -0.031555748471147713, -0.018438509373466597]	0.209	13.259	F	29	5	1	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.185
[-0.01843938468736624, 0.11233439856578788, 0.12210398433789234, 0.010109989624540298, -0.031456701228310999, -0.012634739976050524, -0.00017189252235151145, 0.038650717402231298, -0.021370805471364697, -0.020580977557196518, -0.021226193476810973, -0.02324485003207958]	0.503	13.746	F	29	5	1	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.175
[0.1165725336615787, 0.10104241236554241, 0.0096418048348496568, 0.022008926506808645, -0.0068886903782671557, -0.035206813717810856, 0.031290849750966784, 0.0062748006242491139, -0.042972745380967764, 0.010751751423734617, -0.0052131852021361225, 0.030110218988462934]	0.081	13.909	A#	46	10	2	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.291
[0.048004833168601824, 0.1271380991438911, 0.044599673953492402, -0.024205954881235902, -0.0087965531519422352, -0.068944517011125667, -0.056603993578258953, 0.07616827947351551, -0.054928266670492276, -0.021813934364438351, -0.038541559994557807, 0.036460800198030698]	0.440	14.002	C#	37	1	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.154
[0.064576584425749289, 0.18426326836400558, -0.0055865048216892478, 0.052652548025766195, -0.034919499463118335, -0.057734003627712048, 0.019269528356269404, -0.016471595121366072, 0.03381698253291069, -0.042557892584889873, -0.013105194066048358, -0.0074879706946128178]	0.202	14.257	A#	46	10	2	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.219
[0.068743143034447299, 0.051429474124179246, -0.038863504357139894, -0.038958028659417505, -0.051269641158818574, -0.0021868653440411819, -0.033510554323210484, 0.15854462051467366, 0.10378102408098658, -0.0066408486522930125, -0.027122453523688677, -0.051141720495167499]	0.382	14.629	B	35	11	1	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.118
[0.11202940680610174, 0.086567777409734564, 0.020639550618157653, -0.034061111299710664, 0.042614959940903155, -0.058266873170703434, -0.0074844785488023631, 0.0895382350746977, 0.02068428319267511, 0.047587283536381204, 0.018894496038426419, 0.031951792373657709]	0.434	14.745	B	47	11	2	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.186
[0.080456574304403186, 0.050035110754828811, 0.0024995720413753609, -0.04415569927051359, -0.042373619208807167, -0.026738821412924753, -0.040655765121858853, -0.021620050499755007, 0.021217508918700966, -0.0086577272205556385, 0.0083560458825794777, 0.021519684387698048]	0.205	15.000	F#	42	6	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.247
[0.033884783635333489, 0.033484985350149349, 0.0094340287416714141, -0.029871823044095649, -0.0077025267031408887, -0.038827035871728657, -0.070848823617627649, -0.022109855820348186, 0.0048351884105552684, -0.056480704915040016, -0.010886100277151037, -0.0068079042074552284]	0.299	15.256	F#	42	6	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.214
[-0.33018705327129921, 0.014110380654749413, -0.012486558930942734, -0.0084734858076947004, -0.02112306809827753, -0.034747897886441496, -0.020361062400513479, -0.046395865153176688, 0.087275734922883277, 0.015207844690927475, -0.092182469502062658, -0.015720935889892089]	0.581	15.511	A#	94	10	6	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.067
[-0.49651189536042506, -0.037359273758542602, 0.0027251415646197845, -0.051680772544866839, 0.062682242701537202, -0.05863505785246307, -0.0080083368990770832, 0.0029203617892177339, 0.0095825853295304231, -0.015732791749362818, -0.018444151699656484, -0.018589616895286432]	0.698	15.766	A#	94	10	6	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.098
[-0.073547477693413466, 0.056043237291851636, 0.032095702089055399, 0.062222689092029944, 0.029744483063979508, -0.02788523791533749, 0.020773930079559091, -0.024819963214052679, 0.030992995222182941, -0.013766739299238967, -0.019237431820297482, 0.0078836656874965074]	0.125	16.022	F#	42	6	2	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.213
[0.043433755890537079, 0.068442955213339138, 0.06220461871223696, 0.053034187911412713, 0.077740044758622867, 0.035331990591018311, 0.0083571145667173056, 0.0086522386291181929, -0.039748564055583843, -0.062270588744358681, -0.053986003072462582, -0.036056085371092471]	0.154	16.254	B	35	11	1	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.192
[0.046305788766638691, 0.083049961161631727, 0.034186357784796763, 0.023273411821168846, -0.0020815840025320354, 0.0065298026093353438, -0.007422683190076892, 0.0044798700733214543, -0.024486376692733323, -0.020775736850668074, 0.00046722570290303091, -0.0022297892728410889]	0.207	16.509	C	36	0	2	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.112
[0.10299898275149159, 0.078037329360089655, 0.015876692700743922, 0.020034186431189621, -0.0015805009178346768, -0.008635119877933542, -0.015948535837767428, -0.0014330300381222901, -0.019577775807188908, 0.01783462385229799, -0.015777535659813845, 0.0031656055631187675]	0.256	16.765	C	36	0	2	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.215
