time	chordName	chordKey	chordMode	chordNotes
33.019	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
33.251	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.274	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.576	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.762	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
34.017	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
34.273	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
34.505	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
34.760	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
34.783	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
35.016	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
35.271	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
35.527	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
35.759	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
36.014	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
36.270	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
36.502	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
36.525	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
36.757	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
37.013	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
37.268	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
37.500	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
37.570	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
37.756	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
38.011	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
38.034	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
38.266	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
38.499	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
38.754	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
39.010	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
39.265	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
39.520	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
39.753	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
39.776	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
40.008	Bbm	10	0	[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]
40.263	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
40.519	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
40.751	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
41.006	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
41.262	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
41.517	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
41.773	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
42.005	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
42.260	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
42.516	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
42.771	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.003	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.027	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
43.259	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
43.514	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
43.770	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
44.002	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
44.257	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
44.513	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.559	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
44.768	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
