time	chroma	timbre	dB
14.118	[0.297, 0.155, 0.057, 0.14, 0.387, 0.098, 0.085, 0.061, 0.411, 1.0, 0.198, 0.143]	[49.667, 164.866, -19.534, -14.629, 38.0, -42.585, -16.835, -5.561, -14.017, -3.13, -10.585, -2.676]	-12.512
14.344	[0.026, 0.032, 0.007, 0.022, 0.284, 0.033, 0.026, 0.026, 0.184, 1.0, 0.271, 0.026]	[49.497, 89.666, -88.8, 50.106, 22.521, -37.18, -26.677, 17.287, -22.116, -0.707, -23.371, 11.771]	-13.110
14.792	[0.304, 0.074, 0.076, 0.069, 0.131, 1.0, 0.192, 0.035, 0.024, 0.093, 0.03, 0.029]	[50.594, 138.994, -11.716, -75.195, -28.032, 33.364, 19.529, -2.477, -9.999, 21.544, 53.041, -8.027]	-21.982
15.273	[0.166, 0.137, 0.028, 0.077, 0.516, 0.12, 0.046, 0.062, 0.199, 1.0, 0.253, 0.086]	[53.273, 128.754, -38.686, -13.929, -18.115, -41.103, -40.371, 14.118, -10.161, -10.305, -17.784, -1.199]	-7.039
15.533	[0.569, 0.188, 0.028, 0.07, 0.328, 1.0, 0.421, 0.058, 0.04, 0.1, 0.039, 0.168]	[50.459, 52.942, -2.195, -47.498, -29.971, -32.791, 3.034, -17.839, 18.591, 36.112, -12.638, -4.217]	-11.565
15.721	[0.86, 1.0, 0.939, 0.932, 0.918, 0.923, 0.87, 0.871, 0.89, 0.891, 0.65, 0.538]	[52.644, 111.455, -25.771, -25.091, -31.5, -42.99, 16.253, -3.467, -7.822, -9.2, 18.588, -7.493]	-10.120
15.801	[0.282, 0.473, 0.758, 0.425, 0.273, 0.297, 0.813, 1.0, 0.501, 0.502, 0.127, 0.254]	[53.234, 141.838, 11.51, -26.788, -64.788, -26.325, -5.741, 9.18, 1.706, 2.131, -15.1, -4.104]	-8.682
15.970	[0.467, 0.045, 0.066, 0.058, 0.051, 0.055, 0.334, 0.173, 0.032, 0.03, 0.072, 1.0]	[53.301, 180.842, -8.184, -32.143, -46.191, -32.706, -12.519, -2.369, -16.873, 4.526, -7.589, 3.163]	-8.116
16.184	[0.039, 0.294, 1.0, 0.429, 0.143, 0.144, 0.23, 0.322, 0.17, 0.244, 0.066, 0.064]	[52.991, 138.051, -46.744, -9.672, -23.425, -35.709, -40.717, 18.957, -11.408, 12.329, -12.19, 3.951]	-7.749
16.612	[0.083, 0.135, 0.126, 0.097, 0.305, 0.121, 0.093, 0.077, 0.187, 1.0, 0.217, 0.056]	[52.38, 156.684, 7.322, -48.937, -45.793, -15.013, 3.644, 10.784, 7.871, 3.381, -4.165, -0.9]	-11.372
17.119	[0.626, 0.304, 0.106, 0.168, 0.753, 0.213, 0.299, 0.251, 0.529, 1.0, 0.241, 0.238]	[53.62, 146.188, -3.862, -16.977, 7.58, -42.657, -49.674, 19.353, 7.373, -15.122, -2.897, 3.346]	-8.548
17.357	[0.259, 0.198, 0.165, 0.217, 0.46, 0.377, 0.38, 0.428, 0.628, 1.0, 0.195, 0.292]	[52.553, 117.072, -22.551, -28.31, -21.578, -26.778, -9.084, -5.956, 6.335, 27.705, -24.037, 6.399]	-9.576
17.764	[0.217, 0.138, 0.028, 0.071, 0.426, 0.094, 0.057, 0.027, 0.2, 1.0, 0.212, 0.076]	[48.553, 141.909, -24.892, -45.394, -9.283, -33.226, 3.797, 31.09, 0.711, -11.775, -16.584, -5.694]	-12.864
18.042	[0.314, 0.15, 0.067, 0.107, 0.303, 0.127, 0.122, 0.107, 0.249, 1.0, 0.131, 0.117]	[50.184, 93.92, -54.428, 22.794, 37.522, -48.769, -37.143, 20.0, -16.963, -17.648, -27.647, 6.342]	-12.642
18.269	[0.41, 0.175, 0.053, 0.173, 0.637, 0.13, 0.063, 0.164, 0.537, 1.0, 0.302, 0.167]	[42.162, 131.698, -31.114, 19.296, 23.403, -45.903, -53.855, -21.677, -23.131, 5.417, 1.096, 4.82]	-18.415
18.501	[0.182, 0.075, 0.073, 0.067, 0.15, 1.0, 0.191, 0.029, 0.022, 0.072, 0.029, 0.024]	[51.515, 142.115, -12.905, -63.441, -40.718, -46.328, 7.744, -1.163, -18.498, 29.539, 14.78, -1.002]	-21.867
18.959	[1.0, 0.299, 0.145, 0.24, 0.303, 0.404, 0.199, 0.228, 0.297, 0.82, 0.257, 0.233]	[52.82, 144.363, -9.065, 3.412, -3.597, -33.466, -40.873, 18.367, -10.506, -14.011, -6.72, 4.894]	-7.401
19.197	[0.532, 0.119, 0.024, 0.053, 0.178, 1.0, 0.309, 0.034, 0.024, 0.144, 0.035, 0.101]	[50.377, 93.95, -7.146, -42.661, -30.788, -31.918, -1.876, -47.197, -8.632, 55.388, -13.072, 5.59]	-12.147
19.429	[0.316, 0.651, 0.637, 0.546, 0.8, 0.804, 0.918, 1.0, 0.594, 0.656, 0.188, 0.072]	[53.759, 99.174, -15.175, -48.335, -11.42, -55.245, -8.785, 15.154, -5.481, -7.73, -2.589, 3.864]	-9.374
19.545	[0.968, 0.993, 0.911, 0.819, 0.633, 0.539, 0.733, 0.842, 0.388, 0.237, 0.105, 1.0]	[54.581, 115.297, -15.82, -17.971, -42.55, -37.941, -28.571, 12.523, 5.011, -26.076, 5.749, -4.632]	-6.669
19.777	[1.0, 0.619, 0.263, 0.171, 0.119, 0.185, 0.404, 0.234, 0.461, 0.575, 0.662, 0.39]	[55.575, 109.814, 12.244, -15.704, -7.709, -36.962, -22.216, 12.258, 2.497, -17.462, 1.81, 8.067]	-7.607
