MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.018945761812329459, -0.1457738825803826, -0.10281917667757284, -0.053668449678090452, -0.0078892649959615528, 0.024243540951450003, 0.03308309557079004, -0.018285225458758297, -0.026303541126240271, -0.021757092259895524, 0.044770731623864614, 0.00331975378792428]	0.378	9.218	A	57	9	3	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.371
[-0.15898410945833144, 0.039845632780452521, -0.1577060372725389, 0.014398375296780445, 0.019401365758608128, 0.0090743043391023834, -0.018051735058634277, -0.054801500854719937, 0.015652402067844559, 0.034324836777449394, -0.027102726593706307, 0.0085644763998244666]	0.290	9.451	E	64	4	4	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.140
[0.099237509637053703, 0.10032821088264843, 0.019373606837965539, -0.038087507001620863, 0.014495089817642205, 0.0070783306887254368, 0.020480171656789097, -0.065110941745018774, 0.00062565138464158948, -0.016351755044760708, 0.019544303239107164, 0.01474072575191665]	0.169	9.683	C	48	0	3	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]	0.744
[0.026869152844160839, 0.00045637029943596278, -0.045910972162433811, 0.010520935431972529, -0.013013426938791352, -0.062866212440055011, -0.04240723267483959, -0.056378076981606295, 0.011047455633349978, 0.012575644572410706, 0.015162466366526208, -0.017168589972267615]	0.130	9.892	C	48	0	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.586
[0.0073007499368755377, -0.084830718010653908, -0.11160552526794118, -0.067577217285517618, -0.048150038738178545, 0.044152839110477335, 0.047499533758129424, 0.025884971981467657, -0.030041767355356089, -0.006787752632515966, -0.031116796939177179, 0.046512429978687597]	0.249	10.147	C	48	0	3	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.447
[0.03890433146777221, 0.030238565257913672, 0.033481662596725172, -0.049982300549653018, -0.010827323603315026, -0.023957567784224351, -0.048327051468194861, -0.048792585787108329, -0.052069759741519873, -0.0091501529817732026, 0.013479496934874541, 0.0086691812035532452]	0.140	10.379	F	41	5	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.637
[0.090259517250434199, 0.046337104363567916, 0.071616849049488215, 0.0089337984858516677, -0.019315162009473995, -0.026117388836957901, 0.033266686440006361, -0.0093254970161570101, -0.013667450846930216, 0.005123301237361863, 0.0035179963453965887, 0.030926528670224929]	0.165	10.588	F#	30	6	1	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.705
[0.027112820962442538, 0.017571414198473984, 0.0012965658945391766, -0.047815308103054142, -0.00063412473517350412, -0.039922079481985208, 0.030614624355799321, 0.0001599409279820999, 0.02280176460073189, 0.019099294572044935, 0.0079695294248571611, -0.01809847509805651]	0.354	10.820	B	47	11	2	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.631
[0.093608892823947409, -0.014592046611330916, -0.028768302252420927, -0.027053619763443594, 0.013200641127992244, 0.034807498328948652, 0.084348698762479385, -0.014236193918427103, -0.040628915549971535, 0.030388590385655743, -0.054516296828366964, 0.036436043175909268]	0.322	11.053	A#	58	10	3	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.693
[-0.0036547060383438053, -0.020393985314280681, -0.068542507918330928, -0.03006420284809334, -0.025219058699547364, -0.03209511723962321, -0.013172624594687406, -0.045430064273232297, -0.0014666471754418266, 0.0069140892463418688, -0.028023472427443866, -0.011374551458588919]	0.159	11.099	G	31	7	1	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.650
