time	chroma	timbre	dB
32.508	[0.141, 0.041, 0.024, 0.022, 0.026, 0.057, 0.303, 1.0, 0.529, 0.108, 0.037, 0.25]	[37.578, 29.883, -17.049, -51.127, -26.719, -34.646, -31.708, -24.744, -26.131, -4.905, -2.369, -11.145]	-24.775
32.756	[0.056, 0.014, 0.02, 0.036, 0.12, 0.082, 0.392, 1.0, 0.342, 0.049, 0.018, 0.131]	[41.49, 79.709, -28.832, -65.607, -36.809, -9.512, -36.892, -7.252, -32.262, -17.668, 8.511, -16.962]	-23.729
32.965	[0.007, 0.018, 0.024, 0.051, 0.074, 0.059, 0.105, 0.7, 1.0, 0.06, 0.019, 0.011]	[43.775, 54.985, -15.369, -41.149, -33.15, -11.819, -18.029, -2.08, -40.863, 5.32, -27.575, -3.103]	-18.788
33.546	[0.01, 0.021, 0.018, 0.044, 0.031, 0.022, 0.317, 0.536, 1.0, 0.452, 0.108, 0.012]	[39.29, 67.696, -31.829, -35.677, -29.687, -27.23, -21.553, 19.147, -68.247, -9.542, -7.485, -13.898]	-21.977
33.727	[0.063, 0.149, 0.174, 0.187, 0.093, 0.099, 0.166, 0.584, 1.0, 0.136, 0.032, 0.044]	[39.087, 87.415, -43.281, -33.047, -22.391, 0.504, -28.091, -2.855, -52.483, -5.352, -37.872, -5.325]	-23.758
34.005	[0.006, 0.009, 0.015, 0.043, 0.015, 0.011, 0.031, 0.135, 1.0, 0.353, 0.007, 0.008]	[38.375, 20.1, -48.684, -73.593, -20.352, -31.34, -48.038, -18.41, -29.637, -0.351, -12.017, -9.243]	-25.129
34.228	[0.017, 0.014, 0.012, 0.046, 0.018, 0.072, 0.214, 0.217, 1.0, 0.174, 0.037, 0.034]	[41.726, 71.949, -21.616, -83.285, -36.65, 10.599, -43.761, 6.334, -30.548, -18.857, 12.455, -11.164]	-23.897
34.511	[0.009, 0.031, 0.073, 1.0, 0.113, 0.132, 0.349, 0.105, 0.404, 0.155, 0.053, 0.016]	[42.819, 65.947, -67.863, 1.552, -37.829, -17.406, -46.625, -15.934, -34.125, 9.084, -18.437, -2.009]	-17.521
34.981	[0.039, 0.046, 0.12, 1.0, 0.282, 0.056, 0.189, 0.772, 0.715, 0.098, 0.176, 0.083]	[40.505, 140.568, -10.618, -44.272, -56.796, 15.01, -34.234, 24.914, -44.365, -37.292, 14.043, -6.084]	-25.149
35.283	[0.152, 0.626, 0.215, 0.57, 0.254, 0.281, 0.592, 1.0, 0.505, 0.11, 0.325, 0.049]	[43.354, 151.365, -53.595, 34.256, -45.95, -18.127, -11.139, 4.734, -47.148, 6.794, -8.996, 4.493]	-20.098
35.504	[0.023, 0.021, 0.089, 1.0, 0.28, 0.051, 0.062, 0.129, 0.207, 0.333, 0.462, 0.075]	[42.275, 171.094, -1.824, -104.394, -55.488, -9.041, -36.386, -46.869, -18.827, 20.42, -30.157, -3.646]	-22.942
36.049	[0.344, 0.873, 0.673, 0.791, 1.0, 0.727, 0.23, 0.256, 0.194, 0.063, 0.106, 0.239]	[45.79, 134.174, 3.25, 26.05, -53.741, -47.034, 0.867, -9.077, -43.095, 8.664, -6.257, 5.278]	-18.060
36.199	[0.048, 0.078, 0.013, 0.435, 0.597, 0.079, 0.023, 0.031, 0.785, 1.0, 0.19, 0.295]	[44.79, 50.184, 11.39, -28.009, -38.455, -8.985, -18.21, -24.629, -62.868, 17.733, -19.193, 0.936]	-18.692
36.513	[0.117, 0.131, 0.07, 0.349, 0.431, 0.085, 0.116, 0.417, 1.0, 0.168, 0.102, 0.3]	[43.801, 84.989, -27.715, -21.203, -37.327, -24.965, -48.412, 6.947, -28.468, -22.446, -0.142, -1.963]	-17.138
36.733	[0.072, 0.076, 0.158, 0.275, 0.798, 0.293, 0.176, 0.49, 1.0, 0.261, 0.055, 0.182]	[39.351, 70.102, -57.453, 16.289, -42.972, -17.172, -57.489, -8.454, -16.594, -19.343, -33.142, 7.866]	-19.989
37.244	[0.111, 0.14, 0.1, 0.364, 1.0, 0.284, 0.676, 0.309, 0.365, 0.206, 0.079, 0.275]	[34.502, 118.097, -25.944, -58.795, -53.436, 7.129, -35.975, 16.822, -33.711, -29.514, -2.122, -8.744]	-29.370
37.518	[0.054, 0.016, 0.017, 0.012, 0.029, 0.138, 0.047, 0.011, 0.028, 0.013, 0.044, 1.0]	[40.485, 53.976, -71.876, -31.355, -34.388, 53.234, 2.816, -50.333, -49.893, 42.86, -34.449, 4.112]	-27.407
38.002	[0.142, 0.019, 0.01, 0.015, 0.041, 0.02, 0.074, 0.253, 0.112, 0.008, 0.074, 1.0]	[42.166, 64.663, -70.056, -71.333, -48.504, 9.679, -27.323, 1.409, -23.403, -10.063, 5.979, -21.044]	-24.643
38.283	[0.415, 0.088, 0.03, 0.045, 0.031, 0.044, 0.267, 1.0, 0.616, 0.03, 0.039, 0.445]	[42.367, 101.104, -76.898, 54.832, -59.387, -24.258, -25.413, 5.321, -32.774, -2.409, -12.215, -1.262]	-18.978
