time	MFCC1	MFCC2	MFCC3	MFCC4	MFCC5	MFCC6
48.901	0.107	-0.031	-0.101	-0.027	0.002	0.031
48.994	0.073	0.070	-0.057	-0.060	0.038	-0.016
49.250	0.110	0.085	-0.014	-0.047	0.013	-0.045
49.319	0.156	0.042	-0.035	-0.064	0.017	-0.061
49.551	0.015	-0.033	-0.040	-0.003	0.019	0.025
49.714	0.069	-0.000	-0.050	-0.037	0.035	-0.003
49.969	0.892	0.190	-0.078	-0.144	0.350	0.295
49.993	0.115	0.039	-0.041	-0.005	0.055	-0.001
50.411	0.125	0.134	0.108	-0.032	0.110	0.025
50.480	0.028	-0.017	-0.064	-0.072	-0.051	0.015
50.759	0.115	-0.015	-0.017	-0.052	0.010	0.008
50.852	0.053	-0.002	-0.000	-0.028	-0.003	-0.018
51.200	0.103	0.133	-0.156	-0.110	0.067	0.000
51.479	0.305	0.195	-0.183	-0.118	0.019	0.034
51.502	0.134	0.063	-0.048	-0.040	-0.007	-0.072
51.618	0.042	-0.077	-0.137	-0.066	-0.034	-0.019
51.757	0.006	-0.037	-0.141	-0.098	0.035	0.063
52.013	-0.080	0.015	-0.103	-0.071	0.016	0.017
52.268	0.060	0.023	-0.053	-0.033	0.036	0.019
52.361	0.107	-0.103	-0.028	-0.080	0.078	-0.014
52.454	0.076	-0.029	-0.072	-0.065	0.024	0.002
52.733	0.054	0.066	0.047	-0.005	0.048	-0.065
52.988	0.267	0.353	0.138	-0.200	0.096	-0.111
53.011	0.002	0.051	-0.040	-0.039	-0.016	-0.011
53.452	0.042	-0.029	-0.059	-0.042	0.020	-0.009
53.754	0.147	0.100	0.001	-0.086	-0.038	-0.026
53.894	0.107	0.024	-0.021	-0.043	-0.053	-0.032
53.963	0.069	-0.003	-0.039	-0.064	-0.026	-0.005
54.242	0.212	0.110	-0.111	-0.108	-0.132	-0.031
54.288	0.051	-0.003	-0.048	-0.050	-0.017	-0.006
54.497	0.269	0.096	0.027	-0.072	-0.060	-0.061
54.520	0.117	0.032	-0.077	-0.075	0.038	-0.084
54.962	0.369	-0.138	-0.009	-0.050	0.109	-0.082
54.985	-0.003	-0.035	-0.055	0.007	0.015	-0.045
55.263	0.091	0.010	-0.010	-0.019	0.038	-0.057
55.356	0.100	0.050	-0.024	-0.045	0.009	-0.068
55.635	0.289	0.048	-0.182	0.016	0.153	-0.045
55.705	0.117	-0.028	-0.050	0.011	-0.006	0.006
56.007	0.059	0.000	-0.043	-0.075	0.004	-0.034
56.169	0.019	-0.054	-0.078	-0.039	0.030	0.027
56.308	0.015	-0.061	-0.129	-0.039	0.028	0.029
56.517	0.060	-0.043	-0.072	-0.012	-0.023	0.049
56.773	0.076	0.040	-0.017	-0.042	-0.030	-0.022
56.959	0.036	-0.027	-0.050	-0.073	-0.001	0.001
57.214	0.026	0.104	-0.026	-0.072	-0.024	-0.036
57.516	0.042	0.070	-0.050	-0.068	-0.036	-0.016
57.655	0.101	0.060	-0.039	-0.099	0.040	-0.016
57.980	-0.026	0.129	-0.060	-0.076	0.080	0.014
58.143	-0.086	0.120	-0.047	-0.007	0.087	-0.036
58.259	0.109	0.015	-0.020	-0.074	0.014	0.041
58.445	0.208	0.034	0.023	-0.107	0.084	0.109
58.491	0.046	0.003	-0.034	-0.070	0.018	0.033
58.700	0.018	-0.051	-0.062	-0.022	-0.018	0.025
59.002	0.201	0.051	-0.047	-0.006	-0.035	-0.068
59.072	0.007	-0.036	-0.049	-0.053	-0.009	-0.015
59.768	0.118	0.006	-0.039	-0.051	-0.028	-0.029
59.861	0.062	0.003	-0.020	-0.039	-0.033	-0.015
60.233	0.224	0.160	-0.066	-0.106	-0.030	-0.056
60.418	0.107	0.016	-0.016	-0.072	-0.074	-0.018
60.488	0.112	0.033	0.030	-0.051	-0.073	-0.041
60.604	0.224	0.107	0.028	-0.079	-0.034	-0.040
60.720	0.031	0.024	-0.030	-0.025	-0.002	0.009
60.976	0.157	0.103	0.037	-0.030	0.026	-0.038
61.231	0.311	0.158	-0.083	-0.152	0.070	-0.019
61.254	0.153	0.043	0.062	-0.059	0.045	-0.039
61.394	0.167	0.097	-0.001	-0.043	-0.077	-0.043
61.510	0.111	0.029	-0.009	-0.094	0.011	0.006
61.858	0.074	0.079	0.007	-0.004	0.031	0.044
61.997	-0.006	0.098	-0.041	-0.020	-0.033	-0.017
62.485	-0.049	0.138	-0.143	-0.051	-0.042	0.037
62.740	0.347	0.137	-0.098	-0.070	-0.045	-0.007
62.764	0.049	0.003	-0.056	-0.034	-0.017	-0.006
62.973	0.161	0.039	-0.135	-0.069	0.028	-0.014
63.089	0.052	0.029	-0.112	-0.018	0.075	-0.039
63.181	0.078	0.112	-0.103	-0.051	0.050	-0.021
63.390	0.132	0.186	-0.075	-0.037	0.076	-0.021
63.507	0.170	0.095	0.014	-0.042	0.038	-0.030
63.576	0.100	0.023	-0.122	-0.031	0.110	-0.062
63.855	0.042	-0.039	0.005	0.052	0.061	0.008
63.925	0.048	-0.029	-0.077	0.012	0.055	-0.007
64.250	0.165	0.018	-0.020	-0.078	-0.021	0.001
64.482	0.100	-0.032	-0.040	-0.070	-0.034	0.024
64.644	0.181	0.063	-0.118	-0.062	-0.014	-0.056
64.760	0.085	0.026	-0.067	-0.061	-0.029	-0.049
65.016	0.171	0.017	-0.050	-0.107	-0.008	-0.035
65.109	0.048	-0.012	-0.047	-0.058	-0.054	0.009
65.225	0.029	0.018	-0.016	-0.053	-0.046	0.049
65.759	0.334	0.446	-0.107	-0.217	0.058	0.013
65.782	0.042	0.154	-0.002	-0.096	0.035	-0.036
65.945	0.022	0.107	-0.066	-0.120	0.000	-0.070
66.247	0.113	0.020	-0.069	-0.061	0.040	-0.059
66.502	0.090	0.051	0.012	0.006	0.027	-0.017
66.897	0.160	0.168	-0.056	-0.134	0.060	-0.097
67.013	0.022	0.044	-0.000	-0.043	-0.018	-0.079
67.245	0.220	0.084	0.027	-0.051	-0.061	-0.056
67.361	0.139	0.012	0.003	-0.021	-0.028	-0.018
67.617	0.104	0.033	-0.031	0.001	0.009	-0.009
67.709	0.053	-0.010	-0.027	-0.025	0.014	0.016
67.965	0.355	0.467	0.044	-0.165	-0.045	-0.096
67.988	0.048	-0.005	-0.036	-0.037	-0.001	0.028
68.290	-0.032	-0.093	-0.090	-0.070	0.015	0.031
68.429	-0.027	-0.137	-0.066	-0.079	-0.016	-0.026
68.545	-0.006	-0.045	-0.141	-0.138	-0.001	-0.008
68.731	0.122	0.025	-0.112	-0.084	0.008	-0.047
68.824	0.132	0.048	-0.069	-0.074	0.012	0.001
68.940	-0.005	-0.027	-0.074	-0.057	-0.041	-0.005
69.335	0.010	-0.024	-0.015	-0.013	0.009	0.009
69.497	0.070	0.093	0.003	-0.028	-0.055	-0.016
69.613	-0.018	-0.040	-0.026	-0.013	0.001	0.023
70.055	0.336	0.442	-0.217	-0.007	-0.034	0.064
70.078	-0.073	0.103	-0.008	-0.090	-0.103	0.037
70.264	0.042	0.079	0.024	-0.028	-0.008	-0.025
70.356	0.018	0.031	0.004	-0.061	-0.046	-0.050
70.449	0.066	-0.004	-0.010	-0.066	-0.018	0.021
70.728	0.097	-0.023	-0.021	-0.046	-0.016	0.009
70.983	0.471	0.499	-0.122	-0.178	0.034	-0.022
71.007	0.008	0.000	-0.008	-0.062	-0.015	-0.010
71.750	0.098	0.036	0.013	-0.048	-0.060	-0.040
71.866	0.089	0.037	-0.022	-0.044	-0.046	-0.048
71.959	0.235	0.037	-0.000	-0.065	-0.019	-0.091
72.237	0.046	0.003	-0.020	-0.054	-0.046	-0.020
72.493	0.067	0.067	0.022	-0.028	-0.039	-0.073
72.609	0.241	0.114	-0.009	-0.061	-0.117	-0.053
72.655	0.114	0.018	-0.041	-0.026	0.027	-0.026
72.980	0.235	0.061	0.027	0.010	-0.005	-0.077
73.120	0.098	0.120	0.002	-0.060	0.005	-0.002
73.259	0.126	0.117	-0.027	-0.016	-0.060	-0.054
73.375	0.154	-0.034	0.016	-0.050	-0.078	0.001
73.538	0.019	0.023	0.027	-0.042	-0.007	-0.003
73.723	0.093	-0.028	-0.019	-0.020	0.041	0.026
74.002	0.272	0.121	0.016	-0.059	0.075	-0.005
74.025	0.076	-0.091	0.023	0.000	-0.017	0.058
74.141	-0.057	-0.131	0.052	-0.020	0.036	0.049
74.304	-0.038	-0.008	0.020	-0.008	-0.032	0.033
74.675	0.067	0.101	-0.122	-0.042	0.010	0.004
74.768	0.212	0.004	-0.066	-0.029	0.020	-0.025
75.000	0.120	-0.145	-0.019	-0.023	0.056	-0.012
75.209	0.102	-0.020	-0.095	-0.043	0.037	0.016
75.488	0.123	0.089	-0.015	-0.019	0.030	0.032
75.535	0.047	-0.028	-0.042	-0.044	-0.030	-0.049
75.813	0.026	-0.078	-0.068	-0.036	0.007	0.028
75.952	0.078	-0.119	-0.123	-0.106	0.042	0.014
76.069	0.080	-0.056	-0.068	0.015	0.047	0.014
76.254	0.050	-0.023	-0.007	-0.050	0.013	-0.008
76.394	0.035	-0.011	-0.010	-0.008	-0.010	0.037
76.533	0.024	0.007	-0.071	-0.042	0.048	0.018
76.719	0.055	0.005	-0.013	-0.042	-0.004	0.027
76.997	0.057	0.017	0.029	-0.004	-0.031	-0.013
77.717	0.059	0.117	0.003	-0.030	0.118	0.051
77.764	0.190	0.146	0.010	-0.116	-0.057	-0.003
77.926	0.119	0.058	-0.014	-0.054	-0.053	-0.045
77.996	0.030	-0.002	-0.041	-0.052	-0.034	-0.019
78.228	0.099	0.028	-0.000	-0.036	-0.048	-0.056
78.507	0.057	0.037	-0.022	-0.017	-0.034	-0.009
78.623	0.055	-0.031	-0.046	-0.042	-0.005	0.021
78.785	0.186	0.092	-0.086	-0.066	0.025	-0.018
79.064	0.143	0.117	-0.090	-0.103	0.014	-0.092
79.226	0.355	0.190	-0.178	-0.023	0.051	0.050
79.250	0.135	0.104	-0.077	-0.035	0.027	0.001
79.505	0.040	0.042	-0.031	-0.014	0.043	0.025
79.807	0.086	0.061	0.013	0.008	0.077	0.026
79.900	0.135	-0.028	-0.026	-0.027	0.047	0.119
79.993	0.046	0.022	-0.010	-0.041	-0.013	0.016
80.550	-0.028	-0.064	0.014	-0.062	0.023	0.022
80.736	0.248	0.173	-0.105	-0.054	0.041	0.053
80.759	0.071	0.035	-0.017	-0.021	0.012	0.012
80.898	0.049	0.046	-0.083	0.053	-0.028	0.018
81.014	-0.074	0.042	-0.089	-0.028	-0.059	0.017
81.223	0.038	0.000	-0.050	-0.018	0.014	0.008
81.502	0.071	-0.014	-0.048	-0.045	0.031	0.016
81.618	0.049	-0.000	-0.046	-0.119	0.053	0.019
81.990	0.022	0.009	-0.003	-0.051	0.009	-0.037
