time	ZC
266.101	0.195
266.194	0.197
266.495	0.148
266.612	0.165
266.728	0.227
266.751	0.193
266.913	0.190
267.192	0.196
267.215	0.183
267.494	0.302
267.610	0.165
267.958	0.179
268.237	0.313
268.260	0.218
268.376	0.047
268.701	0.120
268.771	0.156
269.003	0.349
269.073	0.235
269.514	0.148
269.746	0.374
269.769	0.154
270.071	0.107
270.234	0.152
270.489	0.391
270.605	0.247
270.884	0.267
271.023	0.196
271.256	0.604
271.279	0.288
271.418	0.240
271.604	0.182
271.743	0.232
271.999	0.455
272.091	0.263
272.486	0.228
272.765	0.170
272.811	0.054
272.974	0.052
273.043	0.074
273.299	0.096
273.508	0.168
273.624	0.124
273.995	0.143
274.088	0.155
274.251	0.472
274.297	0.225
274.437	0.198
274.530	0.123
274.808	0.114
274.994	0.417
275.110	0.245
275.760	0.151
275.807	0.054
275.923	0.040
276.248	0.048
276.434	0.040
276.503	0.348
276.619	0.181
276.991	0.249
277.246	0.293
277.339	0.120
277.595	0.063
277.711	0.090
277.989	0.230
278.013	0.255
278.129	0.244
278.407	0.195
278.593	0.248
278.756	0.345
278.825	0.246
279.011	0.177
279.174	0.170
279.499	0.672
279.522	0.166
279.986	0.206
280.265	0.145
280.358	0.082
280.474	0.046
280.729	0.109
281.008	0.421
281.054	0.236
281.472	0.305
281.751	0.264
281.844	0.179
282.239	0.252
282.494	0.470
282.540	0.191
282.726	0.218
282.982	0.363
283.005	0.320
283.260	0.210
283.400	0.173
283.492	0.190
283.725	0.158
284.003	0.427
284.096	0.209
284.468	0.152
284.584	0.169
284.723	0.317
284.770	0.134
284.886	0.173
285.187	0.193
285.211	0.237
285.489	0.446
285.582	0.261
285.977	0.288
286.232	0.393
286.256	0.204
286.418	0.150
286.511	0.148
286.766	0.213
286.999	0.267
287.115	0.206
287.742	0.457
287.765	0.177
287.881	0.201
287.997	0.261
288.229	0.274
288.508	0.350
288.578	0.133
288.972	0.160
289.251	0.457
289.274	0.171
289.390	0.151
289.506	0.077
289.762	0.114
289.994	0.383
290.087	0.331
290.505	0.222
290.575	0.278
290.737	0.168
290.830	0.155
290.900	0.145
291.178	0.190
291.294	0.178
291.503	0.251
291.619	0.104
291.921	0.101
292.037	0.126
292.246	0.156
292.316	0.041
292.455	0.106
292.966	0.578
292.989	0.196
293.756	0.161
293.941	0.113
294.058	0.116
294.499	0.312
295.265	0.108
295.404	0.115
295.985	0.378
296.008	0.317
296.728	0.204
297.494	0.835
297.517	0.346
