time	MFCC	ZC	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
19.458	[0.24251032204070033, 0.025533036772817538, 0.043744461791944494, -0.079102314875380497, 0.042755084450412886, -0.0057242289271848519]	0.025	F	41	5	2	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.672
19.621	[0.033285906348133693, -0.021493060556339632, 0.0083387379722914962, 0.016044797732077613, -0.009882257137470948, -0.056227492594091523]	0.075	F	41	5	2	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.425
19.760	[0.12240336452263378, 0.0065522129300643718, -0.068140822356194994, -0.095249868006578101, 0.037652490181143805, -0.070286677807640571]	0.106	C#	61	1	4	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.222
19.969	[0.055507522510847215, 0.15106940356845233, -0.047992846053179293, -0.042303515839777255, 0.061306341454922628, -0.058088176501835967]	0.147	G	43	7	2	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.149
20.712	[0.12134652377598532, 0.050656583012171678, -0.014542046757765542, -0.18583414501029591, 0.06505204107403012, -0.11977409540150917]	0.415	C	48	0	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.192
20.735	[0.071620735786863093, 0.1562063844496776, -0.10748544436192559, -0.1507056095331121, -0.024597435179611986, -0.10275867412740231]	0.130	C#	49	1	3	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.521
20.991	[0.051369806984909568, 0.011983715873053422, -0.035236642305980732, -0.024837453167905012, -0.068404146649143585, -0.0077838627400817614]	0.058	C#	49	1	3	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.373
21.153	[0.15908931812996263, -0.011455920634737462, -0.12234072075009517, -0.095915658863741676, -0.0092782114597538285, 0.019819017716495836]	0.080	A	57	9	3	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.335
21.269	[0.030472882294350825, -0.0064856799257231373, -0.053030807849379906, -0.075190527516321923, -0.035685856465115053, -0.033144736717567541]	0.110	A#	70	10	4	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.260
21.502	[0.232550633934618, 0.13623173070602687, -0.11902331571894453, 0.024767511351866726, 0.033776072447117667, -0.027086570976713818]	0.455	C	36	0	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.286
21.548	[0.1890174978849882, 0.031110918452904798, -0.072618118586599362, -0.0083440154216987208, 0.015580496023983864, -0.013815499302227724]	0.124	F#	54	6	3	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.310
21.711	[-0.018474715916758221, -0.063417392334474437, -0.048394311935497765, 0.002623966258774927, 0.017749812422780727, 0.0036687339474018679]	0.087	F#	54	6	3	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.200
